"PLANT","extinct_level_P_run1","initial_plant_abundance_run1","plant_abundance_run1","reward_abundance_run1","sum_pol_run1","visit_quanity_run1","visit_quality_run1","foraging_effort_run1","extinct_level_P_run2","initial_plant_abundance_run2","plant_abundance_run2","reward_abundance_run2","sum_pol_run2","visit_quanity_run2","visit_quality_run2","foraging_effort_run2","source_dataframe","version"
"CARU",0,0.49981043522703,0.728855726818453,0.0125004768526645,20.3081639863604,20.1338885053138,0.735164576813886,0.728172493300093,0,0.49981043522703,0.727550586881925,0.0307131330146428,1.87547661254878,8.11812126041463,0.168081267373616,0.166666666666667,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"DEUL",0,0.513984860695891,0.667381785133959,0.0125004840589276,10.9069465282323,17.6127434662552,0.413285838081873,0.40638346965974,0,0.513984860695891,0.666584993372349,0.0196328364673162,2.32434221269134,11.161314441953,0.138816234100365,0.142857142857143,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"DICA",0,0.543553715848156,0.772499500725871,0.0125004767768145,22.6326144977416,24.5514958298622,0.712122940320441,0.727564027411583,0,0.543553715848156,0.77205376455445,0.0224058230599376,5.50051493067294,13.6461439524211,0.311200971792516,0.333333333333333,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"ERCA",0,0.507302259959887,0.76527751524461,0.0125004801593436,14.1676492260532,23.3862296182249,0.463613997363727,0.458362577934063,0,0.507302259959887,0.764201091792304,0.0199751679724225,2.23682329026701,14.5659726648619,0.117354524816054,0.111111111111111,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"ERCI",0,0.529083145819177,0.706987940025578,0.0125004780901611,25.7425078779916,18.1996426157535,1,1,0,0.529083145819177,0.707033258433444,0.0125005701791554,25.7439272067103,18.2018127378338,1,1,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"ERGU",0,0.500431782915458,0.683496831346386,0.0125004837367442,13.3903131323157,19.9650658474344,0.458412542518601,0.478263223294513,0,0.500431782915458,0.682765241309576,0.0211273568143332,3.0798968938493,11.7610698724363,0.17879721562287,0.2,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"ERLA",0,0.456975460102305,0.713818591939958,0.0125004727583093,26.2182547555118,20.2065233004199,0.926189894939209,0.930441275168903,0,0.456975460102305,0.712618265919112,0.0281824408419183,2.23534523228052,8.88947247582165,0.179194867579706,0.2,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"ESCA",0,0.486557939432821,0.651167119307618,0.012500479603018,10.0117374675831,16.2470967683633,0.308496755260234,0.660542141117616,0,0.486557939432821,0.650526307548931,0.0137981990657366,2.8723575572315,14.6835846877727,0.133906719179108,0.30952380952381,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"EUSP",0,0.479288047426049,0.662425769812056,0.0125004768746893,22.6895927475927,18.7138311459083,0.49710248870673,1.01814851301223,0,0.479288047426049,0.661511174840187,0.0170645085809757,2.27678363091865,13.6538598250686,0.189540621642077,0.444444444444444,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"GICA",0,0.494213089600305,0.686412609546127,0.0125004758459006,15.2536171735319,18.9225858590274,0.560991099425246,1.13444367535795,0,0.494213089600305,0.686084550000217,0.0239272813572689,4.46630085934523,9.8418358247596,0.256543401800807,0.533333333333333,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"LACA",0,0.539396912320236,0.740268500947441,0.0125004702056122,17.302630846736,21.2314103011566,0.523595840374392,1.03232512022477,0,0.539396912320236,0.740266698307645,0.0134926737939776,12.8575627601794,19.6649862288469,0.325332725585226,0.642857142857143,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"LUBI",0,0.543905366209292,0.651036744742574,0.0125004692108432,13.5298436049015,15.9693474834452,0.457213193297464,1.38891363234378,0,0.543905366209292,0.651068161701739,0.0115396674801925,12.471022980189,17.305909858788,0.28789329814174,0.892857142857143,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"LUMI",0,0.517489879563213,0.76267421228529,0.0125004740024823,25.014809621062,22.7629766551337,0.411241019939359,1.22322366752195,0,0.517489879563213,0.762715037156745,0.0125208208852784,23.4928082070324,22.7282572187219,0.43815654838878,1.30952380952381,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"LUSU",0,0.452405818925428,0.749373590471113,0.0125004763830927,12.2710743105487,24.6021704240915,0.320469813633898,0.924513949356212,0,0.452405818925428,0.749430586099923,0.00969287448129947,12.4970741869295,31.7542385757109,0.283559759897096,0.833333333333333,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"PLER",0,0.484598679670411,0.663320362772599,0.0125004747111145,18.6669177092817,17.8724529101651,0.347075300444122,1.01106911361529,0,0.484598679670411,0.663163745054644,0.0111679109547892,7.37727108548564,20.0031026716679,0.281608204291672,0.80952380952381,"P_Aikawa_2022_spring_full_network_case3_version1","1"
