plant,Q,network,subset
HEEX,0.6250386650386651,Bertha_2024_summer,full
SOAS,0.3333333333333333,Bertha_2024_summer,full
ZETR,0.5474358974358975,Bertha_2024_summer,full
ASER,1,Bertha_2024_summer,non_serpentine
CESO,1,Bertha_2024_summer,non_serpentine
ASFA,0.832521749084249,Bertha_2024_summer,serpentine
HEEX,0.8146817765567764,Bertha_2024_summer,serpentine
SOAS,0.3333333333333333,Bertha_2024_summer,serpentine
ZETR,0.571474358974359,Bertha_2024_summer,serpentine
ACMO,0.6666666666666666,Coyote_2024_spring,full
AGHE,1,Coyote_2024_spring,full
DEVA,0.513022243457026,Coyote_2024_spring,full
EUSP,0.8333333333333334,Coyote_2024_spring,full
LACA,0.7179063360881542,Coyote_2024_spring,full
LUMI,0.01098901098901099,Coyote_2024_spring,full
RACA,0.18181818181818182,Coyote_2024_spring,full
Ranunculus sp.,0.6913752913752914,Coyote_2024_spring,full
TRFU,0.14244200244200245,Coyote_2024_spring,full
TRHI,0.3333333333333333,Coyote_2024_spring,full
VIVI,0.9662064732775596,Coyote_2024_spring,full
VIVI,1,Coyote_2024_spring,non_serpentine
ACMO,0.6666666666666666,Coyote_2024_spring,serpentine
AGHE,1,Coyote_2024_spring,serpentine
DEVA,0.8047619047619047,Coyote_2024_spring,serpentine
EUSP,1,Coyote_2024_spring,serpentine
LACA,0.7179063360881542,Coyote_2024_spring,serpentine
LUMI,0.1,Coyote_2024_spring,serpentine
RACA,0.18181818181818182,Coyote_2024_spring,serpentine
Ranunculus sp.,0.7426573426573426,Coyote_2024_spring,serpentine
TRFU,0.6574025974025975,Coyote_2024_spring,serpentine
TRHI,0.5,Coyote_2024_spring,serpentine
ERCI,0.37,Far_Gate_2022_spring,full
ESCA,0.023809523809523808,Far_Gate_2022_spring,full
HIIN,0.75,Far_Gate_2022_spring,full
LUMI,0.8470330811452306,Far_Gate_2022_spring,full
LUSU,0.14285714285714285,Far_Gate_2022_spring,full
TRHI,0.047619047619047616,Far_Gate_2022_spring,full
VIVI,0.9608747663551404,Far_Gate_2022_spring,full
ERCI,0.38666666666666666,Far_Gate_2022_spring,non_serpentine
HIIN,0.75,Far_Gate_2022_spring,non_serpentine
VIVI,0.9714666666666667,Far_Gate_2022_spring,non_serpentine
ESCA,0.023809523809523808,Far_Gate_2022_spring,serpentine
LUMI,0.869047619047619,Far_Gate_2022_spring,serpentine
LUSU,0.29285714285714287,Far_Gate_2022_spring,serpentine
TRHI,0.047619047619047616,Far_Gate_2022_spring,serpentine
ERCI,0.25,Felch_2024_spring,full
EUSP,0.6666666666666666,Felch_2024_spring,full
GEDI,0.3393939393939394,Felch_2024_spring,full
GITR,0.043478260869565216,Felch_2024_spring,full
LACA,0.8175983436853003,Felch_2024_spring,full
MEPO,0.531986531986532,Felch_2024_spring,full
TRFU,0.5211743783355036,Felch_2024_spring,full
VIVI,0.7522239198709787,Felch_2024_spring,full
ERCI,0.25,Felch_2024_spring,non_serpentine
MEPO,0.7530864197530864,Felch_2024_spring,non_serpentine
VIVI,0.958719135802469,Felch_2024_spring,non_serpentine
EUSP,0.8333333333333334,Felch_2024_spring,serpentine
GEDI,1,Felch_2024_spring,serpentine
GITR,0.043478260869565216,Felch_2024_spring,serpentine
LACA,0.8366459627329192,Felch_2024_spring,serpentine
TRFU,0.8595317725752508,Felch_2024_spring,serpentine
ACWR,0.023255813953488372,Goatgrass_2022_spring,full
AGHE,0.34650214408598,Goatgrass_2022_spring,full
AMME,0.2909816893878642,Goatgrass_2022_spring,full
ASBR,0.1510096991951337,Goatgrass_2022_spring,full
CLPU,0.037037037037037035,Goatgrass_2022_spring,full
DEVA,0.1518565248738284,Goatgrass_2022_spring,full
DICA,0.2294313369630974,Goatgrass_2022_spring,full
ERCI,0.16666666666666666,Goatgrass_2022_spring,full
EUSP,0.23435960591133007,Goatgrass_2022_spring,full
GITR,0.3333333333333333,Goatgrass_2022_spring,full
LACA,0.7387712923090559,Goatgrass_2022_spring,full
LODA,0.017241379310344827,Goatgrass_2022_spring,full
LOHO,0.08110418989862987,Goatgrass_2022_spring,full
LUBI,0.10159817351598173,Goatgrass_2022_spring,full
LUMI,0.286144489839515,Goatgrass_2022_spring,full
LUNA,0.043557168784029036,Goatgrass_2022_spring,full
LUSU,0.14343869731800765,Goatgrass_2022_spring,full
MICA,0.057468239564428314,Goatgrass_2022_spring,full
PHIM,0.037037037037037035,Goatgrass_2022_spring,full
PLER,0.2408625730994152,Goatgrass_2022_spring,full
RACA,0.06107753252887878,Goatgrass_2022_spring,full
SIBE,0.2763157894736842,Goatgrass_2022_spring,full
TRBI,0.05263157894736842,Goatgrass_2022_spring,full
TRER,0.034482758620689655,Goatgrass_2022_spring,full
TRFU,0.17692716081812696,Goatgrass_2022_spring,full
TRHI,0.1,Goatgrass_2022_spring,full
URLI,0.036893796252558654,Goatgrass_2022_spring,full
VIVI,0.7968333012642811,Goatgrass_2022_spring,full
WYAN,0.25925925925925924,Goatgrass_2022_spring,full
AMME,0.5150462962962963,Goatgrass_2022_spring,non_serpentine
ERCI,0.3333333333333333,Goatgrass_2022_spring,non_serpentine
VIVI,0.9760226644555002,Goatgrass_2022_spring,non_serpentine
ACWR,0.0625,Goatgrass_2022_spring,serpentine
AGHE,0.36078784069258013,Goatgrass_2022_spring,serpentine
ASBR,0.3340281100478469,Goatgrass_2022_spring,serpentine
